"year","causeOfDeath","sex","deaths"
1998,"Chronic kidney disease","Females",1256
1998,"Chronic kidney disease","Total",2304
1999,"Chronic kidney disease","Males",1073
1999,"Chronic kidney disease","Females",1243
1999,"Chronic kidney disease","Total",2316
2000,"Chronic kidney disease","Males",1032
2000,"Chronic kidney disease","Females",1205
2000,"Chronic kidney disease","Total",2237
2001,"Chronic kidney disease","Males",1083
2001,"Chronic kidney disease","Females",1206
2001,"Chronic kidney disease","Total",2289
2002,"Chronic kidney disease","Males",1129
2002,"Chronic kidney disease","Females",1357
2002,"Chronic kidney disease","Total",2486
2003,"Chronic kidney disease","Males",1121
2003,"Chronic kidney disease","Females",1310
2003,"Chronic kidney disease","Total",2431
2004,"Chronic kidney disease","Males",1131
2004,"Chronic kidney disease","Females",1232
2004,"Chronic kidney disease","Total",2363
2005,"Chronic kidney disease","Males",1105
2005,"Chronic kidney disease","Females",1321
2005,"Chronic kidney disease","Total",2426
2006,"Chronic kidney disease","Males",1335
2006,"Chronic kidney disease","Females",1376
2006,"Chronic kidney disease","Total",2711
2007,"Chronic kidney disease","Males",1369
2007,"Chronic kidney disease","Females",1653
2007,"Chronic kidney disease","Total",3022
2008,"Chronic kidney disease","Males",1488
2008,"Chronic kidney disease","Females",1771
2008,"Chronic kidney disease","Total",3259
2009,"Chronic kidney disease","Males",1500
2009,"Chronic kidney disease","Females",1830
2009,"Chronic kidney disease","Total",3330
2010,"Chronic kidney disease","Males",1341
2010,"Chronic kidney disease","Females",1657
2010,"Chronic kidney disease","Total",2998
2011,"Chronic kidney disease","Males",1452
2011,"Chronic kidney disease","Females",1616
2011,"Chronic kidney disease","Total",3068
2012,"Chronic kidney disease","Males",1558
2012,"Chronic kidney disease","Females",1731
2012,"Chronic kidney disease","Total",3289
2013,"Chronic kidney disease","Males",1873
2013,"Chronic kidney disease","Females",1956
2013,"Chronic kidney disease","Total",3829
2014,"Chronic kidney disease","Males",1880
2014,"Chronic kidney disease","Females",2132
2014,"Chronic kidney disease","Total",4012
1907,"All certain infectious and parasitic diseases","Males",6165
1907,"All certain infectious and parasitic diseases","Females",6441
1907,"All certain infectious and parasitic diseases","Total",12606
1908,"All certain infectious and parasitic diseases","Males",4469
1908,"All certain infectious and parasitic diseases","Females",4390
1908,"All certain infectious and parasitic diseases","Total",8859
1909,"All certain infectious and parasitic diseases","Males",4323
1909,"All certain infectious and parasitic diseases","Females",4762
1909,"All certain infectious and parasitic diseases","Total",9085
1910,"All certain infectious and parasitic diseases","Males",4324
1910,"All certain infectious and parasitic diseases","Females",4575
1910,"All certain infectious and parasitic diseases","Total",8899
1911,"All certain infectious and parasitic diseases","Males",5059
1911,"All certain infectious and parasitic diseases","Females",5124
1911,"All certain infectious and parasitic diseases","Total",10183
1912,"All certain infectious and parasitic diseases","Males",4051
1912,"All certain infectious and parasitic diseases","Females",3969
1912,"All certain infectious and parasitic diseases","Total",8020
1913,"All certain infectious and parasitic diseases","Males",4340
1913,"All certain infectious and parasitic diseases","Females",4798
1913,"All certain infectious and parasitic diseases","Total",9138
1914,"All certain infectious and parasitic diseases","Males",5817
1914,"All certain infectious and parasitic diseases","Females",4926
1914,"All certain infectious and parasitic diseases","Total",10743
1915,"All certain infectious and parasitic diseases","Males",4948
1915,"All certain infectious and parasitic diseases","Females",3407
1915,"All certain infectious and parasitic diseases","Total",8355
1916,"All certain infectious and parasitic diseases","Males",3396
1916,"All certain infectious and parasitic diseases","Females",3299
1916,"All certain infectious and parasitic diseases","Total",6695
1917,"All certain infectious and parasitic diseases","Males",3769
1917,"All certain infectious and parasitic diseases","Females",3414
1917,"All certain infectious and parasitic diseases","Total",7183
1918,"All certain infectious and parasitic diseases","Males",3405
1918,"All certain infectious and parasitic diseases","Females",3625
1918,"All certain infectious and parasitic diseases","Total",7030
1919,"All certain infectious and parasitic diseases","Males",3890
1919,"All certain infectious and parasitic diseases","Females",2876
1919,"All certain infectious and parasitic diseases","Total",6766
1920,"All certain infectious and parasitic diseases","Males",3056
1920,"All certain infectious and parasitic diseases","Females",3199
1920,"All certain infectious and parasitic diseases","Total",6255
